struct_id,atc_code,id
1768,D07AA01,1133
1388,D07AA02,1134
2245,D07AA03,1135
3959,D07AB02,1136
4548,D07AB03,1137
3237,D07AB05,1138
1208,D07AB06,1139
4553,D07AB07,1140
3135,D07AB08,1141
2725,D07AB09,1142
4569,D07AB11,1143
824,D07AB19,1144
348,D07AC01,1145
4546,D07AC02,1146
819,D07AC03,1147
1204,D07AC04,1148
1206,D07AC05,1149
3141,D07AC06,1150
1217,D07AC07,1151
1205,D07AC08,1152
419,D07AC09,1153
150,D07AC11,1154
1352,D07AC12,1155
1769,D07AC14,1156
1389,D07AC16,1157
2243,D07AC18,1158
3142,D07AC19,1159
4507,D07AD02,1160
1388,D07XA01,1161
2245,D07XA02,1162
4548,D07XB01,1163
2725,D07XB02,1164
4553,D07XB03,1165
1208,D07XB04,1166
824,D07XB05,1167
348,D07XC01,1168
819,D07XC02,1169
3141,D07XC04,1170
1206,D07XC05,1171
3194,D08AA01,1172
160,D08AA02,1173
4317,D08AA03,1174
3137,D08AC01,1175
597,D08AC02,1176
3493,D08AC03,1177
3275,D08AC04,1178
4692,D08AC05,1179
1364,D08AE01,1180
4691,D08AE02,1181
4266,D08AE03,1182
3631,D08AE04,1183
3094,D08AE05,1184
4768,D08AE06,1185
1950,D08AF01,1186
4249,D08AG02,1187
4446,D08AG03,1188
4421,D08AG04,1189
4376,D08AH01,1190
3095,D08AH02,1191
3290,D08AH03,1192
681,D08AH30,1193
3017,D08AJ01,1194
3082,D08AJ02,1195
3083,D08AJ03,1196
4360,D08AJ04,1197
3019,D08AJ05,1198
4416,D08AJ06,1199
3018,D08AJ08,1200
4919,D08AJ10,1201
4786,D08AK01,1202
4687,D08AK02,1203
4787,D08AK03,1204
4788,D08AK04,1205
4733,D08AK06,1206
4789,D08AK30,1207
4502,D08AL01,1208
3281,D08AX01,1209
4466,D08AX02,1210
4332,D08AX03,1211
3088,D08AX04,1212
4215,D08AX05,1213
4699,D08AX06,1214
4790,D08AX07,1215
1076,D08AX08,1216
1896,D09AA01,1217
1261,D09AA02,1218
1950,D09AA03,1219
4688,D09AA04,1220
3017,D09AA05,1221
3631,D09AA06,1222
3083,D09AA07,1223
4495,D09AA08,1224
4249,D09AA09,1225
681,D09AA10,1226
3017,D09AA11,1227
597,D09AA12,1228
4579,D09AA13,1229
1208,D10AA01,1230
1768,D10AA02,1231
824,D10AA03,1232
3032,D10AB01,1233
4260,D10AB02,1234
3607,D10AB03,1235
3343,D10AB05,1236
2722,D10AD01,1237
2831,D10AD02,1238
87,D10AD03,1239
1508,D10AD04,1240
1849,D10AD05,1241
5350,D10AD06,1242
328,D10AE01,1243
678,D10AF01,1244
1048,D10AF02,1245
589,D10AF03,1246
3333,D10AF04,1247
1864,D10AF05,1248
2497,D10AF06,1249
1813,D10AF07,1250
4436,D10AX01,1251
3524,D10AX02,1252
270,D10AX03,1253
4438,D10AX04,1254
782,D10AX05,1255
1508,D10BA01,1256
4302,D11AA01,1257
4360,D11AC01,1258
4249,D11AC06,1259
3027,D11AC09,1260
1734,D11AE01,1261
2552,D11AH01,1262
2168,D11AH02,1263
